#,"ID Detalle Factura","Número de factura","Campaña o aviso institucional","Nombre campaña o aviso institucional","Clasificación del servicio","Categoría del servicio","Subcategoría del servicio",Unidad,"Sujeto obligado contratante","Partida contratante","Sujeto obligado solicitante","Partida solicitante","Área administrativa solicitante","Descripción del servicio o producto adquirido",Cantidad,"Precio unitario con I.V.A incluido",Monto,Estatus
72,72,3215,Campañas,"Institucional 2015","Servicios de difusión en medios de comunicación","Medios impresos","Diarios Editados en los Estados","1/4 plana","Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",36101,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",,"Dirección General de Comunicación Social y Difusión","Victoria de Durango
Cobertura: Estatal
Ámbito geográfico: Durango
Fecha de inicio: 02/12/2015
Fecha de término: 22/12/2015
Grupo de edad: 19-65
Lugar de residencia: Durango
Nivel socioeconómico: A/B/C+ 40%, C 51%, D+ 9%
Nivel educativo: Secundaria - Maestría
Sexo: Ambos",3.00,11522.61,34567.83,Activo
73,73,4827,Campañas,"Institucional 2015","Servicios de difusión en medios de comunicación","Medios impresos","Diarios Editados en los Estados","1/4 plana","Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",36101,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",,"Dirección General de Comunicación Social y Difusión","La Razón
Cobertura: Estatal
Ámbito geográfico: Tamaulipas
Fecha de inicio: 02/12/2015
Fecha de término: 31/12/2015
Grupo de edad: 19-65
Lugar de residencia: Tamaulipas
Nivel socioeconómico: C+ 56%, C 29%, D+ 9%, D 6%
Nivel educativo: Primaria - Doctorado
Sexo: Ambos",2.00,9900.98,19801.96,Activo
74,74,5144,Campañas,"Institucional 2015","Servicios de difusión en medios de comunicación","Medios impresos","Diarios Editados en los Estados","1/4 plana","Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",36101,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",,"Dirección General de Comunicación Social y Difusión","Diario Expresión de Chiapas
Cobertura: Estatal
Ámbito geográfico: Chiapas
Fecha de inicio: 02/12/2015
Fecha de término: 21/12/2015
Grupo de edad: 13-65
Lugar de residencia: Chiapas
Nivel socioeconómico: A/B 8%, C+ 12%, C 14%, D+ 30%, D 36%
Nivel educativo: Primaria - Maestría
Sexo: Ambos",3.00,11539.04,34617.12,Activo
75,75,5452,Campañas,"Institucional 2015","Servicios de difusión en medios de comunicación","Medios impresos","Diarios Editados en los Estados","1/4 plana","Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",36101,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",,"Dirección General de Comunicación Social y Difusión","Nuevo día de Nogales
Cobertura: Estatal
Ámbito geográfico de cobertura: Sonora
Fecha de inicio: 02/12/2015
Fecha de término: 31/12/2015
Grupo de edad: 19-64
Lugar de residencia: Sonora
Nivel socioeconómico: A/B 20%, C+ 35%, C 35%, D+ 10%
Nivel educativo: Secundaria - Doctorado
Sexo: Ambos",2.00,24347.14,48694.28,Activo
76,76,5640,"Avisos Institucionales","Fiesta de la Transparencia","Servicios de difusión en medios de comunicación","Medios impresos","Diarios Editados en el D.F.","1/4 plana","Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",33605,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",,"Dirección General de Comunicación Social y Difusión","Publimetro
Cobertura y Ámbito geográfico: Nacional
Fecha de inicio: 29/04/2015
Fecha de término: 01/05/2015
Grupo de edad: 18-44
Lugar de Residencia: Nacional
Nivel socioeconómico: A/B/C+ 73%, C 27%
Nivel educativo: Preparatoria - Posgrado
Sexo: Ambos",1.00,25543.20,25543.20,Activo
77,77,5669,Campañas,"Institucional 2015","Servicios de difusión en medios de comunicación","Medios impresos","Diarios Editados en los Estados","1/4 plana","Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",36101,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",,"Dirección General de Comunicación Social y Difusión","Noticias Diario Binacional Sin Fronteras
Cobertura: Estatal
Ámbito geográfico: Sonora
Fecha de inicio: 02/12/2015
Fecha de término: 18/12/2015
Grupo de edad: 19-50
Lugar de residencia; Sonora
Nivel socioeconómico: A/B 18%, C+ 31%, C 30%, D+/E 9%
Nivel educativo: Primaria - Licenciatura
Sexo: Ambos",2.00,8080.01,16160.02,Activo
78,78,6041,"Avisos Institucionales","Día Internacional de Protección de Datos Personales 2015","Servicios de difusión en medios de comunicación","Medios impresos","Diarios Editados en el D.F.",Cintillo,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",33605,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",,"Dirección General de Comunicación Social y Difusión","La Jornada
Cobertura y Ámbito geográfico: Nacional
Grupo de edad: 13-65
Fecha de inicio: 26/01/2015
Fecha de término: 26/01/2015
Lugar de Residencia: Nacional
Nivel socioeconómico: A/B/C+ 41%, C 29%, D+ 12%, D/E 18%
Nivel educativo: Media superior a básica-posgrado
Sexo: Ambos",1.00,46235.28,46235.28,Activo
79,79,6350,Campañas,"Institucional 2015","Servicios de difusión en medios de comunicación","Medios impresos",Revistas,Plana,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",36101,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",,"Dirección General de Comunicación Social y Difusión","Revista Cambio
Cobertura y Ámbito geográfico: Nacional
Fecha de inicio: 10/12/2015
Fecha de término: 27/12/2015
Grupo de edad: 19-65
Lugar de Residencia: Nacional
Nivel socioeconómico: A/B 90%, C+ 10% 
Nivel educativo: Licenciatura - Doctorado
Sexo: Ambos",2.00,46400.00,92800.00,Activo
80,80,6368,Campañas,"Institucional 2015","Servicios de difusión en medios de comunicación","Medios impresos","Diarios Editados en los Estados","1/4 plana","Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",36101,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",,"Dirección General de Comunicación Social y Difusión","El Orbe
Cobertura: Estatal
Ámbito geográficod e cobertura: Chiapas
Fecha de inicio: 02/12/2015
Fecha de término: 22/12/2015
Grupo de edad: 18-46
Lugar de residencia: Chiapas
Nivel socioeconómico: A/B/C+ 24%, C 27%, D 49%
Sexo: Ambos",1.00,19585.44,19585.44,Activo
81,81,6702,Campañas,"Institucional 2015","Servicios de difusión en medios de comunicación","Medios impresos","Diarios Editados en los Estados","1/4 plana","Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",36101,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",,"Dirección General de Comunicación Social y Difusión","Meridiano de Nayarit
Cobertura: Estatal
Ámbito geográfico: Nayarit
Fecha de inicio: 02/12/2015
Fecha de término: 20/12/2015
Lugar de residencia: Nayarit
Nivel educativo: Secundaria - Posgrado
Sexo: Ambos",2.00,27658.57,55317.14,Activo
82,82,7142,Campañas,"Institucional 2015","Servicios de difusión en medios de comunicación","Medios impresos",Revistas,Plana,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",36101,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",,"Dirección General de Comunicación Social y Difusión","Revista TV
Publi reportaje, Doble Plana
Cobertura y Ámbito geográfico: Nacional
Fecha de inicio: 11/12/2015
Fecha de término: 22/12/2015
Grupo de edad: 13-65
Lugar de Residencia: Nacional
Nivel socioeconómico: A/B/C+ 22%, C18%, D+ 36%, D/E 24% 
Sexo: Ambos",1.00,299000.00,299000.00,Activo
83,83,7317,"Avisos Institucionales","Alcances y Retos de la Ley General de Transparencia y Acceso a la Información Pública","Servicios de difusión en medios de comunicación","Medios impresos","Diarios Editados en el D.F.",Cintillo,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",33605,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",,"Dirección General de Comunicación Social y Difusión","La Jornada
Cobertura: Nacional
Ámbito geográfico: Nacional
Fecha de inicio: 22/05/2015
Fecha de término: 25/05/2015
Grupo de edad: 13-65
Lugar de residencia: Nacional
Nivel socioeconómico: A/B/C+ 41%, C 29%, D+ 12%, D/E 18%
Nivel educativo: Media superior a básica-posgrado
Sexo: Ambos",1.00,26816.46,26816.46,Activo
84,84,8094,"Avisos Institucionales","Sistema Nacional de Transparencia, Acceso a la Información Publica y Protección de Datos Personales","Servicios de difusión en medios de comunicación","Medios impresos","Diarios Editados en el D.F.","1/2 plana","Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",33605,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",,"Dirección General de Comunicación Social y Difusión","La Jornada
Cobertura: Nacional
Ámbito geográfico: Nacional
Fecha de inicio: 22/06/2015
Fecha de término: 23/06/2015
Grupo de edad: 13-65
Lugar de residencia: Nacional
Nivel socioeconómico: A/B/C+ 41%, C 29%, D+12%, D/E 18% 
Nivel educativo: Media superior a básica-posgrado
Sexo: Ambos",1.00,92470.56,92470.56,Activo
85,85,8162,"Avisos Institucionales","Inauguración del Centro de Atención a la Sociedad y el Servicio TELINAI","Servicios de difusión en medios de comunicación","Medios impresos","Diarios Editados en el D.F.",Cintillo,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",33605,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",,"Dirección General de Comunicación Social y Difusión","La Jornada
Cobertura y Ámbito geográfico: Nacional
Fecha de inicio: 20/08/2015
Fecha de término: 21/08/2015
Grupo de edad: 13-65
Lugar de Residencia: Nacional
Nivel socioeconómico: A/B/C+ 41%, C 29%, D+ 12%, D/E 18%
Nivel educativo: Media superior a básica-posgrado
Sexo: Ambos",1.00,23117.64,23117.64,Activo
86,86,8215,Campañas,"Institucional 2015","Servicios de difusión en medios de comunicación","Medios impresos","Diarios Editados en los Estados","1/4 plana","Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",36101,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",,"Dirección General de Comunicación Social y Difusión","ABC de Monterrey
Cobertura: Estatal
Ámbito geográfico de cobertura: Nuevo León
Fecha de inicio: 02/12/2015
Fecha de término: 23/12/2015
Grupo de edad: 18-45
Lugar de residencia: Nuevo León
Nivel socioeconómico: A/B 8%, C+ 29%, C 32%, D+ 6%
Nivel educativo: Primaria-Posgrado 
Sexo: Ambos",3.00,26119.69,78359.07,Activo
87,87,8962,"Avisos Institucionales","Semana Nacional de Transparencia 2015","Servicios de difusión en medios de comunicación","Medios impresos","Diarios Editados en el D.F.",Cintillo,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",33605,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",,"Dirección General de Comunicación Social y Difusión","La Jornada
Cobertura y Ámbito geográfico: Nacional
Fecha de inicio: 30/09/2015
Fecha de término: 01/10/2015
Grupo de edad: 13-65
Lugar de Residencia: Nacional
Nivel socioeconómico: A/B/C+ 41%, C 29%, D+ 12%, D/E 18%
Nivel educativo: Media superior a básica-posgrado
Sexo: Ambos",1.00,23117.64,23117.64,Activo
88,88,9071,Campañas,"Institucional 2015","Servicios de difusión en medios de comunicación",Internet,"Redes sociales y buscadores",Otro,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",36101,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",,"Dirección General de Comunicación Social y Difusión","Twitter
Espacios Publicitarios
Cobertura y Ámbito geográfico: Nacional
Lugar de Residencia: Nacional
Sexo: Ambos",1.00,1940000.00,1940000.00,Activo
89,89,9341,"Avisos Institucionales","3er. Seminario Internacional sobre Gestión Documental y Transparencia y nombramiento del Rector de la UNAM","Servicios de difusión en medios de comunicación","Medios impresos","Diarios Editados en el D.F.","1/4 plana","Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",33605,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",,"Dirección General de Comunicación Social y Difusión","La Jornada
Cobertura y Ámbito geográfico: Nacional
Fecha de inicio: 13/11/2015
Fecha de término: 18/11/2015
Grupo de edad: 13-65
Lugar de Residencia: Nacional
Nivel socioeconómico: A/B/C+ 41%, C 29%, D+ 12%, D/E 18%
Nivel educativo: Media superior a básica-posgrado
Sexo: Ambos",1.00,46235.28,46235.28,Activo
90,90,9739,Campañas,"Institucional 2015","Servicios de difusión en medios de comunicación","Medios impresos","Diarios Editados en el D.F.","1/4 plana","Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",36101,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",,"Dirección General de Comunicación Social y Difusión","La Jornada
Cobertura: Nacional
Ámbito geográfico: Nacional
Fecha de inicio: 03/12/2015
Fecha de término: 04/12/2015
Grupo de edad: 13-65
Lugar de residencia: Nacional
Nivel socioeconómico: A/B/C+ 41%, C 29%, D/+ 12%, D/E 18% 
Nivel educativo: Media superior a básica-posgrado
Sexo: Ambos",1.00,46235.28,46235.28,Activo
91,91,9740,"Avisos Institucionales","Encuentro Regional de Transparencia y Protección de Datos Personales","Servicios de difusión en medios de comunicación","Medios impresos","Diarios Editados en el D.F.","1/4 plana","Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",33605,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",,"Dirección General de Comunicación Social y Difusión","La Jornada
Cobertura y ámbito geográfico de cobertura: Nacional
Fecha de inicio: 09/12/2015
Fecha de término: 10/12/2015
Grupo de edad; 13-65
Lugar de residencia: Nacional
Nivel socioeconómico: A/B/C+ 41%, C 29%, D+ 12%, D/E 18%
Nivel educativo: Media superior a básica-posgrado
Sexo: Ambos",1.00,46235.28,46235.28,Activo
92,92,9757,Campañas,"Institucional 2015","Servicios de difusión en medios de comunicación","Medios impresos","Diarios Editados en el D.F.",Robaplana,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",36101,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",,"Dirección General de Comunicación Social y Difusión","La Jornada
Robaplana/ 1/4 de plana 
Cobertura y ámbito geográfico de cobertura: Nacional
Fecha de inicio: 11/12/2015
Fecha de término: 27/12/2015
Grupo de edad: 13-65
Lugar de residencia: Nacional
Nivel socioeconómico: A/B/C+ 41%, C 29%, D+ 12%, D/E 18%
Nivel educativo: Media superior a básica-posgrado
Sexo: Ambos",1.00,268164.62,268164.62,Activo
93,93,10116,Campañas,"Institucional 2015","Servicios de difusión en medios de comunicación","Medios impresos","Diarios Editados en los Estados","1/4 plana","Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",36101,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",,"Dirección General de Comunicación Social y Difusión","El Debate de Mazatlán
Cobertura: Estatal
Ámbito geográfico: Sinaloa
Fecha de inicio: 02/12/2015
Fecha de término: 31/12/2015
Grupo de edad: 13-60
Lugar de residencia; Sinaloa
Nivel socioeconómico: Bajo 51,1 %, Medio Medio 30.6%, Alto 19.3%
Sexo: Ambos",2.00,14979.75,29959.50,Activo
94,94,11129,"Avisos Institucionales","Día Internacional de Protección de Datos Personales 2015","Servicios de difusión en medios de comunicación","Medios impresos","Diarios Editados en los Estados",Cintillo,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",33605,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",,"Dirección General de Comunicación Social y Difusión","El Imparcial de Sonora
Cobertura: Estatal
Ámbito geográfico de cobertura: Sonora
Fecha de inicio: 27/01/2015
Fecha de término: 28/01/2015
Grupo de edad: 13-65
Lugar de residencia: Sonora
Nivel socioeconómico: A/B/C+ 41%, C 25%, D+ 23%, D/E 11%
Nivel educativo: Primaria-Doctorado
Sexo: Ambos",1.00,10561.85,10561.85,Activo
95,95,12281,Campañas,"Institucional 2015","Servicios de difusión en medios de comunicación","Medios impresos","Diarios Editados en los Estados","1/4 plana","Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",36101,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",,"Dirección General de Comunicación Social y Difusión","Diario de Moreles
Cobertura: Estatal
Ámbito geográfico de cobertura: Morelos
Fecha de inicio: 02/12/2015
Fecha de término: 27/12/2015
Grupo de edad: 18-45
Lugar de residencia: Morelos
Nivel socioeconómico: A 3%, B 28%, C 60%, D 9%
Nivel educativo: Técnico-Doctorado 
Sexo: Ambos",2.00,47151.99,94303.98,Activo
96,96,12584,"Avisos Institucionales","Día Internacional de Protección de Datos Personales 2015","Servicios de difusión en medios de comunicación","Medios impresos","Diarios Editados en el D.F.",Cintillo,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",33605,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",,"Dirección General de Comunicación Social y Difusión","Milenio Diario
Cobertura: Estatal
Ámbito geográfico de cobertura: Estado de México
Fecha de inicio: 27/01/2015
Fecha de término: 29/01/2015
Grupo de edad: 13-64
Lugar de residencia: Estado de México
Nivel socioeconómico: A/B/C+ 28%, C26%, D+ 17%, D/E 29%
Nivel educativo: Nivel Medio Superior-Posgrado
Sexo: Ambos",1.00,10875.00,10875.00,Activo
97,97,13257,Campañas,"Institucional 2015","Servicios de difusión en medios de comunicación","Medios impresos","Diarios Editados en los Estados","1/4 plana","Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",36101,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",,"Dirección General de Comunicación Social y Difusión","El Bravo
Cobertura: Estatal
Ámbito geográfico de cobertura: Tamaulipas
Fecha de inicio: 02/12/2015
Fecha de término: 31/12/2015
Grupo de edad: 18-45
Lugar de residencia: Tamaulipas
Nivel socioeconómico: A/B 44%, C+29%, C 24%, D+ 25%, D/E 7%
Sexo: Ambos",2.00,14165.49,28330.98,Activo
98,98,14356,Campañas,"Institucional 2015","Servicios de difusión en medios de comunicación","Medios impresos","Diarios Editados en los Estados","1/4 plana","Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",36101,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",,"Dirección General de Comunicación Social y Difusión","Mercurio de Tamaulipas
Cobertura: Estatal
Ámbito geográfico de cobertura: Tamaulipas
Fecha de inicio: 02/12/2015
Fecha de término: 31/12/2015
Grupo de edad: 19-65
Lugar de residencia: Tamaulipas
Nivel socioeconómico: A/B 25%, C+ 30%, C 40%, D+ 5%
Nivel educativo: Secundaria-Doctorado
Sexo: Ambos",2.00,18052.87,36105.74,Activo
99,99,15347,Campañas,"Institucional 2015","Servicios de difusión en medios de comunicación","Medios impresos","Diarios Editados en los Estados","1/4 plana","Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",36101,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",,"Dirección General de Comunicación Social y Difusión","El Presente Diario del Sureste
Cobertura: Estatal
Ámbito geográfico de cobertura: Tabasco
Fecha de inicio: 02/12/2015
Fecha de término: 20/12/2015
Grupo de edad: 20-41
Lugar de residencia: Tabasco
Sexo: Ambos",2.00,21265.99,42531.98,Activo
100,100,15844,"Avisos Institucionales","Día Internacional de Protección de Datos Personales 2015","Servicios de difusión en medios de comunicación","Medios impresos","Diarios Editados en los Estados",Cintillo,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",33605,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",,"Dirección General de Comunicación Social y Difusión","El Dictamen
Cobertura: Estatal
Ámbito geográfico de cobertura: Veracruz
Fecha de inicio: 27/01/2015
Fecha de término: 28/01/2015
Grupo de edad: 17-55
Lugar de residencia: Veracruz
Nivel socioeconómico: A/B/C+ 50%, C 22%, D+ 14%, D 14% 
Sexo: Ambos",1.00,6861.40,6861.40,Activo
101,101,16306,Campañas,"Institucional 2015","Servicios de difusión en medios de comunicación","Medios impresos","Diarios Editados en los Estados","1/4 plana","Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",36101,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",,"Dirección General de Comunicación Social y Difusión","Diario Independiente Tribuna
Cobertura: Estatal
Ámbito geográfico de cobertura: Campeche
Fecha de inicio: 02/12/2015
Fecha de término: 19/12/2015
Grupo de edad: 17-66
Lugar de residencia: Campeche
Nivel socioeconómico: A/B/C+ 87%, C 13%
Nivel educativo: Secundaria-Profesional 
Sexo: Ambos",2.00,35803.26,71606.52,Activo
102,102,17599,Campañas,"Institucional 2015","Servicios de difusión en medios de comunicación","Medios impresos","Diarios Editados en los Estados","1/4 plana","Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",36101,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",,"Dirección General de Comunicación Social y Difusión","El Presente Diario del Sureste
Cobertura: Estatal
Ámbito geográfico de cobertura: Tabasco
Fecha de inicio: 02/12/2015
Fecha de término: 31/12/2015
Grupo de edad: 20-41
Lugar de residencia: Tabasco
Sexo: Ambos",2.00,21265.99,42531.98,Activo
103,103,19315,Campañas,"Institucional 2015","Servicios de difusión en medios de comunicación","Medios impresos","Diarios Editados en los Estados","1/4 plana","Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",36101,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",,"Dirección General de Comunicación Social y Difusión","El Diario Grande de Michoacán Provincia
Cobertura: Estatal
Ámbito geográfico de cobertura: Michoacán
Fecha de inicio: 02/12/2015
Fecha de término: 23/12/2015
Grupo de edad: 17-65
Lugar de residencia: Michoacán
Nivel socioeconómico: A/B 51%, C+  42%, C 7% 
Nivel educativo: Secundaria-Profesional 
Sexo: Ambos",2.00,19943.60,39887.20,Activo
104,104,19374,Campañas,"Institucional 2015","Servicios de difusión en medios de comunicación","Medios impresos","Diarios Editados en los Estados","1/4 plana","Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",36101,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",,"Dirección General de Comunicación Social y Difusión","Información con Valor Vanguardia
Cobertura: Estatal
Ámbito geográfico: Coahuila
Fecha de inicio: 02/12/2015
Fecha de término: 23/12/2015
Grupo de edad: 18-46
Lugar de residencia: Coahuila
Nivel socioeconómico: A/B 9,1%, C 37.7%, D 53.20%
Sexo: Ambos",2.00,17975.71,35951.42,Activo
105,105,19375,Campañas,"Institucional 2015","Servicios de difusión en medios de comunicación","Medios impresos","Diarios Editados en los Estados","1/4 plana","Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",36101,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",,"Dirección General de Comunicación Social y Difusión","El Guardian
Cobertura: Estatal
Ámbito geográfico: Coahuila
Fecha de inicio: 02/12/2015
Fecha de término: 19/12/2015
Grupo de edad: 18-46
Lugar de residencia: Coahuila
Nivel socioeconómico: A/B 1,8%, C 19,9%, D 78,3%
Sexo: Ambos",1.00,32896.72,32896.72,Activo
106,106,19670,Campañas,"Institucional 2015","Servicios de difusión en medios de comunicación","Medios impresos","Diarios Editados en los Estados","1/4 plana","Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",36101,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",,"Dirección General de Comunicación Social y Difusión","Tribuna de los Cabos
Cobertura: Estatal
Ámbito geográfico: Baja California Sur
Fecha de inicio: 02/12/2015
Fecha de término: 22/12/2015
Grupo de edad: 15-55
Lugar de residencia: Baja California Sur
Nivel educativo: Primaria-Posgrado
Sexo: Ambos",3.00,15312.57,45937.71,Activo
107,107,21003,"Avisos Institucionales","Día Internacional de Protección de Datos Personales 2015","Servicios de difusión en medios de comunicación","Medios impresos","Diarios Editados en los Estados",Cintillo,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",33605,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",,"Dirección General de Comunicación Social y Difusión","Hidrocálido La Verdad por Delante
Cobertura: Estatal
Ámbito geográfico: Aguascalientes
Fecha de inicio: 27/01/2015
Fecha de término: 29/01/2015
Grupo de edad: 19-65
Lugar de residencia: Aguascalientes
Nivel socioeconómico: A/B 30%, C+ 35%, C 30%, D+ 5%
Nivel educativo: Carrera Técnica-Doctorado
Sexo: Ambos",1.00,13384.60,13384.60,Activo
108,108,21140,Campañas,"Institucional 2015","Servicios de difusión en medios de comunicación","Medios impresos","Diarios Editados en los Estados","1/4 plana","Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",36101,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",,"Dirección General de Comunicación Social y Difusión","Diario del Istmo
Cobertura: Estatal
Ámbito geográfico: Veracruz
Fecha de inicio: 02/12/2015
Fecha de término: 31/12/2015
Grupo de edad: 19-62
Lugar de residencia: Veracruz
Nivel socioeconómico: A/B/C+ 21%, C 68%, D+ 11%
Nivel educativo: Primaria-Maestría
Sexo: Ambos",2.00,27391.55,54783.10,Activo
109,109,24625,"Avisos Institucionales","Día Internacional de Protección de Datos Personales 2015","Servicios de difusión en medios de comunicación","Medios impresos","Diarios Editados en los Estados",Cintillo,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",33605,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",,"Dirección General de Comunicación Social y Difusión","AM de Guanajuato ; Cobertura: estatal;  Ámbito geográfico de cobertura: Guanajuato ; Fecha de inicio: 27/01/2015; Fecha de término: 29/01/2015; Grupo(s) de edad: 19-65; Lugar de residencia: Guanajuato ; Nivel  socieconómico: A/B 20%, C+30%, C 40%, D+ 10%; Nivel educativo: Primaria-Maestría; Sexo: Ambos ;",1.00,12938.64,12938.64,Activo
110,110,24817,Campañas,"Institucional 2015","Servicios de difusión en medios de comunicación","Medios impresos","Diarios Editados en los Estados","1/4 plana","Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",36101,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",,"Dirección General de Comunicación Social y Difusión","El Pulso de San Luis Potosí; Cobertura: estatal;  Ámbito geográfico de cobertura: San Luis Potosí ; Fecha de inicio: 02/12/2015; Fecha de término: 31/12/2015; Grupo(s) de edad: 18-55; Lugar de residencia: San Luis Potosí ; Nivel  socieconómico: Alto 28.8%, Medio 31.5%, Medio Bajo 23.7%, Bajo 16%; Nivel educativo: 0; Sexo: Ambos ;",2.00,18273.34,36546.68,Activo
111,111,24951,Campañas,"Institucional 2015","Servicios de difusión en medios de comunicación","Medios impresos","Diarios Editados en los Estados","1/4 plana","Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",36101,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",,"Dirección General de Comunicación Social y Difusión","Hidrocálido La Verdad por Delante; Cobertura: estatal;  Ámbito geográfico de cobertura: Aguascalientes; Fecha de inicio: 02/12/2015; Fecha de término: 28/12/2015; Grupo(s) de edad: 19-65; Lugar de residencia: Aguascalientes; Nivel  socieconómico: A/B 30%, C+ 35%, C 30%, D+ 5%; Nivel educativo: Carrera Técnica-Doctorado; Sexo: Ambos ;",3.00,24249.99,72749.97,Activo
