"ID Respecto al contrato y los montos (Factura-Orden de compra-Contrato-Proveedor)","Fecha de Firma Del Contrato","Número O Referencia de Identificación Del Contrato","Objeto Del Contrato","Hipervínculo Al Contrato Firmado","Hipervínculo Al Convenio Modificatorio, en su Caso","Monto Total Del Contrato","Monto Pagado Al Periodo Publicado","Fecha de Inicio de Los Servicios Contratados","Fecha de Término de Los Servicios Contratados","Número de Factura","Hipervínculo a La Factura"
193-180-1-87,2016-11-30,OI-69-16,"Promedio de circulación, ámbito geográfico de cobertura y perfil del lector",,,27405.00,27405.00,2016-11-30,2015-12-31,16558,
194-181-1-88,2016-11-30,OI-70-16,"Promedio de circulación, ámbito geográfico de cobertura y perfil del lector",,,13307.52,13307.52,2016-11-30,2015-12-31,10128,
195-182-1-34,2017-11-30,OI-71-16,"Promedio de circulación, ámbito geográfico de cobertura y perfil del lector",,,19310.66,19310.66,2017-11-30,2015-12-31,21694,
196-183-1-70,2016-11-30,OI-72-16,"Promedio de circulación, ámbito geográfico de cobertura y perfil del lector",,,16310.97,16310.97,2016-11-30,2015-12-31,32043,
197-184-1-26,2017-11-30,OI-73-16,"Promedio de circulación, ámbito geográfico de cobertura y perfil del lector",,,22081.31,22081.31,2017-11-30,2015-12-31,13968,
198-185-1-8,2016-11-30,OI-74-16,"Promedio de circulación, ámbito geográfico de cobertura y perfil del lector",,,26359.84,26359.84,2016-11-30,2015-12-31,9395,
199-186-1-37,2016-11-30,OI-75-16,"Promedio de circulación, ámbito geográfico de cobertura y perfil del lector",,,40120.92,40120.92,2016-11-30,2015-12-31,156313,
2-92-1-7,2015-12-02,"OI-73-15 INAI","Nombre comercial del proveedor: El Dictamen
Promedio de circulación, ámbito geográfico de cobertura, perfil del lector",,,32947.38,32947.38,2015-12-02,2015-12-31,18,
20-118-1-47,2015-02-05,"OS-02-15 IFAI","Nombre comercial del proveedor: XSN Group
Disponibilidad del Servicio",,,28814.40,28814.40,2015-02-05,2015-12-31,781,
200-187-1-89,2016-11-30,OI-76-16,"Promedio de circulación, ámbito geográfico de cobertura y perfil del lector",,,11071.62,11071.62,2016-11-30,2015-12-31,18541,
201-188-1-63,2016-11-30,OI-77-16,"Promedio de circulación, ámbito geográfico de cobertura y perfil del lector",,,22642.62,22642.62,2016-11-30,2015-12-31,45492,
202-189-1-45,2016-11-30,OI-78-16,"Promedio de circulación, ámbito geográfico de cobertura y perfil del lector",,,17694.55,17694.55,2016-11-30,2015-12-31,31585,
203-190-1-32,2016-11-30,OI-79-16,"Promedio de circulación, ámbito geográfico de cobertura y perfil del lector",,,35322.00,35322.00,2016-11-30,2015-12-31,84566,
204-191-1-36,2016-11-30,OI-80-16,"Promedio de circulación, ámbito geográfico de cobertura y perfil del lector",,,40782.70,40782.70,2016-11-30,2015-12-31,109295,
205-192-1-7,2016-11-30,OI-81-16," 
Promedio de circulación, ámbito geográfico de cobertura y perfil del lector
 ",,,20596.38,20596.38,2016-11-30,2015-12-31,22114,
206-193-1-66,2016-11-30,OI-82-16,"Promedio de circulación, ámbito geográfico de cobertura y perfil del lector",,,17522.96,17522.96,2016-11-30,2015-12-31,16484,
207-194-1-9,2016-11-30,OI-83-16,"Promedio de circulación, ámbito geográfico de cobertura y perfil del lector",,,9865.80,9865.80,2016-11-30,2015-12-31,7058,
208-195-1-90,2016-11-30,OI-84-16,"Promedio de circulación, ámbito geográfico de cobertura y perfil del lector",,,15949.71,15949.71,2016-11-30,2015-12-31,8637,
209-196-1-28,2016-11-30,OI-85-16,"Promedio de circulación, ámbito geográfico de cobertura y perfil del lector",,,11875.50,11875.50,2016-11-30,2015-12-31,25711,
21-120-1-47,2015-03-04,"OS-03-15 IFAI","Nombre comercial del proveedor: XSN Group
Disponibilidad del Servicio",,,14407.20,14407.20,2015-03-04,2015-12-31,782,
210-197-1-7,2016-11-30,OI-86-16,"Promedio de circulación, ámbito geográfico de cobertura y perfil del lector",,,15785.28,15785.28,2016-11-30,2015-12-31,442,
211-198-1-22,2015-11-30,OI-87-16,"Promedio de circulación, ámbito geográfico de cobertura y perfil del lector",,,17045.71,17045.71,2015-11-30,2015-12-31,29423,
212-199-1-10,2016-11-30,OI-88-16,"Promedio de circulación, ámbito geográfico de cobertura y perfil del lector",,,13941.88,13941.88,2016-11-30,2015-12-31,8423,
213-200-1-91,2016-11-30,OI-89-16,"Promedio de circulación, ámbito geográfico de cobertura y perfil del lector",,,15062.70,15062.70,2016-11-30,2015-12-31,8851,
214-201-1-92,2016-11-30,OI-90-16,"Promedio de circulación, ámbito geográfico de cobertura y perfil del lector",,,9823.92,9823.92,2016-11-30,2015-12-31,1790,
215-202-1-93,2016-11-30,OI-91-16,"Promedio de circulación, ámbito geográfico de cobertura y perfil del lector",,,16372.40,16372.40,2016-11-30,2015-12-31,1003,
216-203-1-94,2016-11-30,OI-92-16,"Promedio de circulación, ámbito geográfico de cobertura y perfil del lector",,,17214.40,17214.40,2016-11-30,2015-12-31,2763,
217-204-1-41,2016-11-30,OI-93-16,"Promedio de circulación, ámbito geográfico de cobertura y perfil del lector",,,95520.44,95520.44,2016-11-30,2015-12-31,255510,
218-205-1-95,2016-11-30,OI-94-16,"Promedio de circulación, ámbito geográfico de cobertura y perfil del lector",,,62129.60,62129.60,2016-11-30,2015-12-31,24508,
219-206-1-96,2016-11-30,OI-95-16,"Promedio de circulación, ámbito geográfico de cobertura y perfil del lector",,,30450.00,30450.00,2016-11-30,2015-12-31,1284,
22-122-1-47,2015-03-19,"OS-04-15 IFAI","Nombre comercial del proveedor: XSN Group
Disponibilidad del Servicio",,,21610.80,21610.80,2015-03-19,2015-12-31,783,
220-207-1-54,2016-11-30,OI-96-16,"Promedio de circulación, ámbito geográfico de cobertura y perfil del lector",,,149999.99,149999.99,2016-11-30,2015-12-31,1897,
221-208-1-53,2016-11-30,OI-97-16,"Promedio de circulación, ámbito geográfico de cobertura y perfil del lector",,,124999.28,124999.28,2016-11-30,2015-12-31,60879,
222-209-1-2,2016-11-30,OI-98-16,"Promedio de circulación, ámbito geográfico de cobertura y perfil del lector",,,51056.99,51056.99,2016-11-30,2015-12-31,13466,
223-210-1-53,2016-11-30,OS-37-16,"Promedio de alcance",,,182748.72,182748.72,2016-11-30,2015-12-31,60663,
224-211-1-54,2016-11-30,OS-38-16,"Promedio de alcance",,,115917.64,115917.64,2016-11-30,2015-12-31,1888,
225-212-1-74,2016-11-30,OS-39-16,"Promedio de alcance",,,162400.00,162400.00,2016-11-30,2015-12-31,1452,
226-213-1-57,2016-11-30,OS-40-16,"Promedio de alcance",,,62118.00,62118.00,2016-11-30,2015-12-31,982,
227-214-1-75,2016-11-30,OS-41-16,"Promedio de alcance",,,81200.00,81200.00,2016-11-30,2015-12-31,429,
228-215-1-85,2016-11-30,OS-42-16,"Promedio de alcance",,,63568.00,63568.00,2016-11-30,2015-12-31,191,
229-216-1-86,2016-11-30,OS-43-16,"Promedio de alcance",,,9999.99,9999.99,2016-11-30,2015-12-31,19258,
23-124-1-47,2015-04-08,"OS-05-15 IFAI","Nombre comercial del proveedor: XSN Group
Disponibilidad del Servicio",,,28814.40,28814.40,2015-04-08,2015-12-31,784,
230-217-1-12,2016-11-30,OS-44-16,"Promedio de alcance",,,9999.99,9999.99,2016-11-30,2015-12-31,10417,
231-218-1-32,2016-11-30,OS-45-16,"Promedio de alcance",,,20000.00,20000.00,2016-11-30,2015-12-31,84604,
232-219-1-63,2016-11-30,OS-46-16,"Promedio de alcance",,,9999.99,9999.99,2016-11-30,2015-12-31,45518,
233-220-1-36,2016-11-30,OS-47-16,"Promedio de alcance",,,10000.00,10000.00,2016-11-30,2015-12-31,109326,
234-221-1-45,2016-11-30,OS-48-17,"Promedio de alcance",,,9999.99,9999.99,2016-11-30,2015-12-31,31614,
235-222-1-97,2016-11-30,OS-49-16,"Promedio de alcance",,,9999.99,9999.99,2016-11-30,2015-12-31,97,
236-223-1-11,2016-11-30,OS-50-16,"Promedio de alcance",,,9999.99,9999.99,2016-11-30,2015-12-31,23564,
237-224-1-98,2016-11-30,OS-51-16,"Promedio de alcance",,,9999.99,9999.99,2016-11-30,2015-12-31,4441,
238-225-1-99,2016-11-30,OS-52-16,"Promedio de alcance",,,174000.00,174000.00,2016-11-30,2015-12-31,35324,
24-137-1-47,2015-03-12,"OS-19-15 INAI","Nombre comercial del proveedor: XSN Group
Disponibilidad del Servicio",,,28814.40,28814.40,2015-03-12,2015-12-31,788,
245-226-1-47,2016-01-01,OS-01-16,"Disponibilidad del servicio",,,7203.60,7203.60,2016-01-01,2015-12-31,853,
246-227-1-47,2016-01-12,OS-02-16,"Disponibilidad del servicio",,,21610.80,21610.80,2016-01-12,2015-12-31,854,
247-228-1-47,2016-01-25,OS-03-16,"Disponibilidad del servicio",,,7203.60,7203.60,2016-01-25,2015-12-31,855,
248-229-1-47,2016-02-01,OS-04-16,"Disponibilidad del servicio",,,7203.60,7203.60,2016-02-01,2015-12-31,856,
249-230-1-47,2016-02-11,OS-05-16,"Disponibilidad del servicio",,,28814.40,28814.40,2016-02-11,2015-12-31,"857 B",
25-138-1-47,2015-06-09,"OS-20-15 INAI","Nombre comercial del proveedor: XSN Group
Disponibilidad del Servicio",,,28814.40,28814.40,2015-06-09,2015-12-31,789,
250-231-1-47,2016-03-01,OS-06-16,"Disponibilidad del servicio",,,28814.40,28814.40,2016-03-01,2015-12-31,858,
251-232-1-47,2016-04-05,OS-07-16,"Disponibilidad del servicio",,,28814.40,28814.40,2016-04-05,2015-12-31,859,
252-233-1-47,2016-04-08,OS-08-16,"Disponibilidad del servicio",,,7203.60,7203.60,2016-04-08,2015-12-31,860,
253-234-1-47,2016-05-04,OS-09-16," 
Disponibilidad del servicio
 ",,,28814.40,28814.40,2016-05-04,2015-12-31,"872 A",
254-235-1-47,2016-05-09,OS-10-16," 
Disponibilidad del servicio
 ",,,7203.60,7203.60,2016-05-09,2015-12-31,"872 B",
255-236-1-47,2016-06-01,OS-11-16," 
Disponibilidad del servicio
 ",,,21610.80,21610.80,2016-06-01,2015-12-31,881,
256-237-1-47,2016-06-20,OS-12-16," 
Disponibilidad del servicio
 ",,,7203.60,7203.60,2016-06-20,2015-12-31,875,
257-238-1-47,2016-06-22,OS-13-16," 
Disponibilidad del servicio
 ",,,14407.20,14407.20,2016-06-22,2015-12-31,"876 A",
258-239-1-47,2016-07-06,OS-14-16," 
Disponibilidad del servicio
 ",,,21610.80,21610.80,2016-07-06,2015-12-31,"877 A",
259-240-1-47,2016-07-07,OS-15-16," 
Disponibilidad del servicio
 ",,,21610.80,21610.80,2016-07-07,2015-12-31,"878 A",
26-139-1-47,2015-10-26,"OS-21-15 INAI","Nombre comercial del proveedor: XSN Group
Disponibilidad del Servicio",,,14407.20,14407.20,2015-10-26,2015-12-31,790,
260-241-1-47,2016-08-09,OS-16-16," 
Disponibilidad del servicio
 ",,,28814.40,28814.40,2016-08-09,2015-12-31,"879 A",
261-242-1-47,2016-09-27,OS-24-16," 
Disponibilidad del servicio
 ",,,21610.80,21610.80,2016-09-27,2015-12-31,26,
262-243-1-47,2016-10-05,OS-25-16," 
Disponibilidad del servicio
 ",,,28814.40,28814.40,2016-10-05,2015-12-31,21,
263-244-1-47,2016-10-25,OS-26-16," 
Disponibilidad del servicio
 ",,,7203.60,7203.60,2016-10-25,2015-12-31,22,
264-245-1-47,2016-10-31,OS-27-16," 
Disponibilidad del servicio
 
 
 ",,,28814.40,28814.40,2016-10-31,2015-12-31,27,
265-246-1-47,2016-11-14,OS-28-16," 
Disponibilidad del servicio
 
 
 ",,,21610.80,21610.80,2016-11-14,2015-12-31,28,
266-163-1-47,2016-11-30,OI-53-16,"Promedio de circulación, ámbito geográfico de cobertura y perfil del lector",,,21610.20,21610.20,2016-11-30,2015-12-31,40,
27-140-1-47,2015-11-09,"OS-22-15 INAI","Nombre comercial del proveedor: XSN Group
Disponibilidad del Servicio",,,21610.80,21610.80,2015-11-09,2015-12-31,791,
276-248-1-103,2016-07-05,"Gasto Directo","Disponibilidad del servicio",,,15080.00,15080.00,2016-07-05,2015-12-31,"1033 B",
277-249-1-1,2016-01-22,OI-01-16,"Promedio de circulación, ámbito geográfico de cobertura y perfil del lector",,,107817.36,107817.36,2016-01-22,2015-12-31,171355,
278-250-1-2,2016-01-22,OI-02-16,"Promedio de circulación, ámbito geográfico de cobertura y perfil del lector",,,24270.68,24270.68,2016-01-22,2015-12-31,10047,
279-251-1-4,2016-01-22,OI-03-16,"Promedio de circulación, ámbito geográfico de cobertura y perfil del lector",,,57740.16,57740.16,2016-01-22,2015-12-31,133429,
28-141-1-47,2015-11-24,"OS-23-15 INAI","Nombre comercial del proveedor: XSN Group
Disponibilidad del Servicio",,,7203.60,7203.60,2015-11-24,2015-12-31,792,
280-252-1-31,2016-01-27,OI-04-16,"Promedio de circulación, ámbito geográfico de cobertura y perfil del lector",,,41960.10,41960.10,2016-01-27,2015-12-31,18683,
281-253-1-37,2016-01-27,OI-05-16,"Promedio de circulación, ámbito geográfico de cobertura y perfil del lector",,,25594.08,25594.08,2016-01-27,2015-12-31,152345,
282-254-1-48,2016-01-27,OI-06-16,"Promedio de circulación, ámbito geográfico de cobertura y perfil del lector",,,13933.92,13933.92,2016-01-27,2015-12-31,3310,
283-255-1-26,2016-01-27,OI-07-16,"Promedio de circulación, ámbito geográfico de cobertura y perfil del lector",,,38105.11,38105.11,2016-01-27,2015-12-31,12550,
284-256-1-45,2016-01-27,OI-08-16,"Promedio de circulación, ámbito geográfico de cobertura y perfil del lector",,,44154.24,44154.24,2016-01-27,2015-12-31,25685,
285-257-1-32,2016-01-27,OI-09-16,"Promedio de circulación, ámbito geográfico de cobertura y perfil del lector",,,46284.00,46284.00,2016-01-27,2015-12-31,738226,
286-258-1-63,2017-01-27,OI-10-16,"Promedio de alcance",,,21968.56,21968.56,2017-01-27,2015-12-31,40588,
287-259-1-104,2016-02-07,OI-11-16,"Promedio de circulación, ámbito geográfico de cobertura y perfil del lector",,,23861.20,23861.20,2016-02-07,2015-12-31,6743,
288-260-1-105,2016-04-06,OI-12-16,"Promedio de circulación, ámbito geográfico de cobertura y perfil del lector",,,33704.96,33704.96,2016-04-06,2015-12-31,12767,
289-261-1-83,2016-04-06,OI-13-16,"Promedio de circulación, ámbito geográfico de cobertura y perfil del lector",,,36580.72,36580.72,2016-04-06,2015-12-31,29094,
29-144-1-47,2015-12-02,"OS-35-15 INAI","Nombre comercial del proveedor: XSN Group
Disponibilidad del Servicio",,,14407.20,14407.20,2015-12-02,2015-12-31,795,
290-262-1-41,2016-04-07,OI-14-16,"Promedio de alcance",,,69455.23,69455.23,2016-04-07,2015-12-31,237970,
291-263-1-1,2016-04-07,OI-15-16,"Promedio de circulación, ámbito geográfico de cobertura y perfil del lector",,,46207.44,46207.44,2016-04-07,2015-12-31,171350,
292-264-1-2,2016-04-15,OI-16-16,"Promedio de circulación, ámbito geográfico de cobertura y perfil del lector",,,49408.17,49408.17,2016-04-15,2015-12-31,10828,
293-265-1-52,2016-05-19,OI-17-16,"Promedio de circulación, ámbito geográfico de cobertura y perfil del lector",,,51127.00,51127.00,2016-05-19,2015-12-31,1202,
294-266-1-56,2016-06-01,OI-18-16,"Promedio de circulación, ámbito geográfico de cobertura y perfil del lector",,,70992.00,70992.00,2016-06-01,2015-12-31,164051,
295-267-1-41,2016-06-17,OI-19-16,"Promedio de alcance",,,69455.23,69455.23,2016-06-17,2015-12-31,239152,
296-268-1-106,2016-06-17,OI-20-16,"Promedio de circulación, ámbito geográfico de cobertura y perfil del lector",,,84123.20,84123.20,2016-06-17,2015-12-31,69797,
297-269-1-55,2016-06-21,OI-21-16,"Promedio de circulación, ámbito geográfico de cobertura y perfil del lector",,,52200.00,52200.00,2016-06-21,2015-12-31,"805 B",
298-270-1-1,2016-06-24,OI-22-16,"Promedio de circulación, ámbito geográfico de cobertura y perfil del lector",,,46207.44,46207.44,2016-06-24,2015-12-31,175799,
299-271-1-83,2016-07-08,OI-23-16,"Promedio de circulación, ámbito geográfico de cobertura y perfil del lector",,,36580.72,36580.72,2016-07-08,2015-12-31,31644,
3-151-1-76,2015-12-12,"OS-42-15 INAI","Nombre comercial del proveedor: http://ww.entresemana.mx
Promedio de alcance ",,,46400.00,46400.00,2015-12-12,2015-12-31,36,
30-142-1-47,2015-11-05,"OS-24-15 INAI","Nombre comercial del proveedor: XSN Group
Disponibilidad del Servicio",,,28814.40,28814.40,2015-11-05,2015-12-31,796,
300-272-1-84,2016-07-15,OI-24-16,"Promedio de circulación, ámbito geográfico de cobertura y perfil del lector",,,18908.00,18908.00,2016-07-15,2015-12-31,30154,
301-273-1-107,2016-07-15,OI-25-16,"Promedio de circulación, ámbito geográfico de cobertura y perfil del lector",,,36234.96,36234.96,2016-07-15,2015-12-31,170,
302-274-1-53,2016-07-15,OI-26-16,"Promedio de circulación, ámbito geográfico de cobertura y perfil del lector",,,75905.76,75905.76,2016-07-15,2015-12-31,57814,
303-275-1-99,2016-07-15,OI-27-16,"Promedio de alcance",,,58000.00,58000.00,2016-07-15,2015-12-31,32827,
304-276-1-1,2016-08-04,OI-28-16,"Promedio de circulación, ámbito geográfico de cobertura y perfil del lector",,,23594.40,23594.40,2016-08-04,2015-12-31,178533,
305-277-1-108,2016-08-23,OI-29-16,"Promedio de alcance",,,51156.00,51156.00,2016-08-23,2015-12-31,4024,
306-278-1-109,2016-08-31,OI-30-16,"Promedio de alcance",,,46400.00,46400.00,2016-08-31,2015-12-31,1,
307-279-1-56,2016-09-09,OI-31-16,"Promedio de circulación, ámbito geográfico de cobertura y perfil del lector",,,70992.00,70992.00,2016-09-09,2015-12-31,170093,
308-280-1-1,2016-09-22,OI-32-16,"Promedio de circulación, ámbito geográfico de cobertura y perfil del lector",,,53908.68,53908.68,2016-09-22,2015-12-31,181050,
309-281-1-41,2016-09-22,OI-33-16,"Promedio de alcance",,,63141.12,63141.12,2016-09-22,2015-12-31,249033,
31-135-1-47,2015-09-02,"OS-17-15 INAI","Nombre comercial del proveedor: XSN Group
Disponibilidad del Servicio",,,36018.00,36018.00,2015-09-02,2015-12-31,797,
312-283-1-1,2016-09-30,OI-35-16,"Promedio de circulación, ámbito geográfico de cobertura y perfil del lector",,,23200.00,23200.00,2016-09-30,2015-12-31,181879,
313-284-1-1,2016-10-18,OI-36-16,"Promedio de circulación, ámbito geográfico de cobertura y perfil del lector",,,38280.00,38280.00,2016-10-18,2015-12-31,182590,
314-285-1-41,2016-11-09,OI-37-16,"Promedio de alcance",,,46400.00,46400.00,2016-11-09,2015-12-31,252306,
315-286-1-4,2016-11-18,OI-38-16,"Promedio de circulación, ámbito geográfico de cobertura y perfil del lector",,,49775.60,49775.60,2016-11-18,2015-12-31,138579,
316-287-1-83,2016-11-22,OI-39-16,"Promedio de circulación, ámbito geográfico de cobertura y perfil del lector",,,73161.42,73161.42,2016-11-22,2015-12-31,36102,
317-288-1-84,2016-11-23,OI-40-16,"Promedio de circulación, ámbito geográfico de cobertura y perfil del lector",,,37816.00,37816.00,2016-11-23,2015-12-31,33551,
319-289-1-95,2016-11-24,OI-41-16,"Promedio de circulación, ámbito geográfico de cobertura y perfil del lector",,,29000.00,29000.00,2016-11-24,2015-12-31,24433,
32-136-1-47,2015-10-07,"OS-18-15 INAI","Nombre comercial del proveedor: XSN Group
Disponibilidad del Servicio",,,28814.40,28814.40,2015-10-07,2015-12-31,798,
320-290-1-110,2016-11-24,OI-42-16,"Promedio de circulación, ámbito geográfico de cobertura y perfil del lector",,,29642.25,29642.25,2016-11-24,2015-12-31,16399,
321-291-1-111,2016-11-24,OI-43-16,"Promedio de circulación, ámbito geográfico de cobertura y perfil del lector",,,29642.25,29642.25,2016-11-24,2015-12-31,14505,
322-292-1-1,2016-11-24,OI-44-16,"Promedio de circulación, ámbito geográfico de cobertura y perfil del lector",,,43117.20,43117.20,2016-11-24,2015-12-31,183812,
323-293-1-24,2016-11-24,OI-45-16,"Promedio de circulación, ámbito geográfico de cobertura y perfil del lector",,,64602.72,64602.72,2016-11-24,2015-12-31,3891,
324-294-1-56,2016-11-25,OI-46-16,"Promedio de circulación, ámbito geográfico de cobertura y perfil del lector",,,59392.00,59392.00,2016-11-25,2015-12-31,173964,
325-295-1-52,2016-09-19,OS-18-16,"Promedio de alcance",,,26680.00,26680.00,2016-09-19,2015-12-31,1302,
326-296-1-1,2016-09-21,OS-19-16,"Promedio de circulación, ámbito geográfico de cobertura y perfil del lector",,,69600.00,69600.00,2016-09-21,2015-12-31,182381,
327-297-1-112,2016-09-21,OS-20-16,"Promedio de alcance",,,23981.84,23981.84,2016-09-21,2015-12-31,371,
328-298-1-75,2016-09-21,OS-21-16,"Promedio de alcance ",,,43430.40,43430.40,2016-09-21,2015-12-31,400,
329-299-1-74,2016-09-21,OS-22-16,"Promedio de alcance",,,34800.00,34800.00,2016-09-21,2015-12-31,1363,
33-127-1-47,2015-07-01,"OS-08-15 INAI","Nombre comercial del proveedor: XSN Group
Disponibilidad del Servicio",,,21610.80,21610.80,2015-07-01,2015-12-31,799,
330-300-1-78,2016-09-27,OS-23-16,"Promedio de alcance",,,10866.88,10866.88,2016-09-27,2015-12-31,448,
331-301-1-110,2016-11-11,OS-29-16,"Promedio de alcance",,,5800.00,5800.00,2016-11-11,2015-12-31,16438,
332-302-1-111,2016-11-11,OS-30-16,"Promedio de alcance",,,5800.00,5800.00,2016-11-11,2015-12-31,14555,
333-303-1-24,2016-11-11,OS-31-16,"Promedio de alcance",,,12760.00,12760.00,2016-11-11,2015-12-31,3929,
334-304-1-47,2016-09-07,OS-17-16,"Disponibilidad del servicio",,,28814.40,28814.40,2016-09-07,2015-12-31,25,
337-305-1-47,2017-01-31,OS-07-17,"Disponibilidad del servicio",,,28814.40,28814.40,2017-01-31,2015-12-31,52,http://pruebasproyectos.com/tpo_prueba_09ene19/data/facturas/OS-07-F.pdf
338-306-1-47,2017-02-01,OS-08-17,"Disponibilidad del servicio",,,28814.40,28814.40,2017-02-01,2015-12-31,53,http://pruebasproyectos.com/tpo_prueba_09ene19/data/facturas/OS-08-F.pdf
339-307-1-47,2017-02-20,OS-09-17,"Disponibilidad del servicio",,,7203.60,7203.60,2017-02-20,2015-12-31,54,http://pruebasproyectos.com/tpo_prueba_09ene19/data/facturas/OS-09-F.pdf
34-129-1-47,2015-08-05,"OS-10-15 INAI","Nombre comercial del proveedor: XSN Group
Disponibilidad del Servicio",,,28814.40,28814.40,2015-08-05,2015-12-31,800,
340-308-1-47,2017-02-24,OS-10-17,"Disponibilidad del servicio",,,7203.60,7203.60,2017-02-24,2015-12-31,55,http://pruebasproyectos.com/tpo_prueba_09ene19/data/facturas/OS-10-F.pdf
341-309-1-47,2017-03-01,OS-11-17,"Disponibilidad del servicio",,,28814.40,28814.40,2017-03-01,2015-12-31,56,http://pruebasproyectos.com/tpo_prueba_09ene19/data/facturas/OS-11-F.pdf
342-310-1-1,2017-01-20,OI-01-17,"Promedio de circulación, ámbito geográfico de cobertura y perfil del lector ",,,53908.68,53908.68,2017-01-20,2015-12-31,186528,http://pruebasproyectos.com/tpo_prueba_09ene19/data/facturas/OI-01-FVP.pdf
343-311-1-2,2017-01-23,OI-02-17,"Promedio de circulación, ámbito geográfico de cobertura y perfil del lector ",,,26787.30,26787.30,2017-01-23,2015-12-31,13992,http://pruebasproyectos.com/tpo_prueba_09ene19/data/facturas/OI-02-FVP.pdf
344-312-1-41,2017-01-24,OI-03-17,"Promedio de alcance ",,,57179.88,57179.88,2017-01-24,2015-12-31,258435,http://pruebasproyectos.com/tpo_prueba_09ene19/data/facturas/OI-03-FVP.pdf
345-313-1-1,2017-03-12,OI-04-17,"Promedio de circulación, ámbito geográfico de cobertura y perfil del lector ",,,38280.00,38280.00,2017-03-12,2015-12-31,190840,http://pruebasproyectos.com/tpo_prueba_09ene19/data/facturas/OI-04-FVP.pdf
346-314-1-52,2017-06-20,OI-06-17,"Promedio de circulación, ámbito geográfico de cobertura y perfil del lector ",,,53174.40,53174.40,2017-06-20,2015-12-31,1458,http://pruebasproyectos.com/tpo_prueba_09ene19/data/facturas/OI-06.F.1458.pdf
347-315-1-55,2017-06-20,OI-05-17,"Promedio de circulación, ámbito geográfico de cobertura y perfil del lector ",,,52200.00,52200.00,2017-06-20,2015-12-31,985,http://pruebasproyectos.com/tpo_prueba_09ene19/data/facturas/OI-05.F.985.pdf
348-316-1-113,2017-01-24,OS-06-17,"Promedio de alcance ",,,5532.27,5532.27,2017-01-24,2015-12-31,4938,http://pruebasproyectos.com/tpo_prueba_09ene19/data/facturas/OS-06.F.4938.VP.pdf
349-317-1-24,2017-01-24,OS-02-17,"Promedio de alcance ",,,4425.82,4425.82,2017-01-24,2015-12-31,5023,http://pruebasproyectos.com/tpo_prueba_09ene19/data/facturas/OS-02.F.5023.pdf
35-119-1-47,2015-05-18,"OS-02-15 INAI","Nombre comercial del proveedor: XSN Group
Disponibilidad del Servicio",,,7203.60,7203.60,2015-05-18,2015-12-31,803,
350-318-1-98,2017-01-24,OS-01-17,"Promedio de alcance ",,,8298.41,8298.41,2017-01-24,2015-12-31,5332,http://pruebasproyectos.com/tpo_prueba_09ene19/data/facturas/OS-01.F.5332.pdf
351-319-1-114,2017-01-24,OS-03-17,"Promedio de alcance ",,,5532.27,5532.27,2017-01-24,2015-12-31,"1844 A",http://pruebasproyectos.com/tpo_prueba_09ene19/data/facturas/OS-03.F.1844.pdf
352-320-1-63,2017-01-24,OS-05-17,"Promedio de alcance ",,,8989.94,8989.94,2017-01-24,2015-12-31,48294,http://pruebasproyectos.com/tpo_prueba_09ene19/data/facturas/OS-05.F.48294.pdf
353-321-1-115,2018-06-23,OS-14-17,"Promedio de alcance ",,,19759.01,19759.01,2018-06-23,2015-12-31,424,http://pruebasproyectos.com/tpo_prueba_09ene19/data/facturas/OS-14.F.424.VP.pdf
354-322-1-84,2017-07-07,OS-15-17,"Promedio de alcance ",,,29000.00,29000.00,2017-07-07,2015-12-31,38138,http://pruebasproyectos.com/tpo_prueba_09ene19/data/facturas/OS-15.F.38138.VP.pdf
355-323-1-83,2017-07-07,OS-16-17,"Promedio de alcance ",,,25000.00,25000.00,2017-07-07,2015-12-31,42098,http://pruebasproyectos.com/tpo_prueba_09ene19/data/facturas/OS-16.F.42098.pdf
356-324-1-26,2017-01-24,OS-04-17,"Promedio de alcance ",,,8851.64,8851.64,2017-01-24,2015-12-31,14841,http://pruebasproyectos.com/tpo_prueba_09ene19/data/facturas/OS-04.F.14841.pdf
357-325-1-47,2017-07-07,OS-17-17,"Disponibilidad del servicio",,,28814.40,28814.40,2017-07-07,2015-12-31,62,http://pruebasproyectos.com/tpo_prueba_09ene19/data/facturas/OS-17.F.62.pdf
358-326-1-47,2017-07-07,OS-18-17,"Disponibilidad del servicio",,,28814.40,28814.40,2017-07-07,2015-12-31,63,http://pruebasproyectos.com/tpo_prueba_09ene19/data/facturas/OS-18.F.63.pdf
359-327-1-47,2017-07-07,OS-19-17,"Disponibilidad del servicio
 
 ",,,28814.40,28814.40,2017-07-07,2015-12-31,64,http://pruebasproyectos.com/tpo_prueba_09ene19/data/facturas/OS-19.F.64.pdf
36-125-1-47,2015-06-09,"OS-05-15 INAI","Nombre comercial del proveedor: XSN Group
Disponibilidad del Servicio",,,7203.60,7203.60,2015-06-09,2015-12-31,804,
360-328-1-47,2017-07-07,OS-20-17,"Disponibilidad del servicio
 
 ",,,7203.60,7203.60,2017-07-07,2015-12-31,65,http://pruebasproyectos.com/tpo_prueba_09ene19/data/facturas/OS-20.F.65.pdf
361-329-1-47,2017-07-07,OS-21-17,"Disponibilidad del servicio
 
 ",,,7203.60,7203.60,2017-07-07,2015-12-31,66,http://pruebasproyectos.com/tpo_prueba_09ene19/data/facturas/OS-21.F.66.pdf
