"Sujeto Obligado",Ejercicio,"Fecha de Inicio Del periodo Que Se Informa","Fecha de Término Del periodo Que Se Informa","Funcion Del Sujeto Obligado (catálogo)","Área Administrativa Encargada de Solicitar El Servicio o Producto, en su caso","Clasificación Del(los) Servicios (catálogos)","Tipo de Servicio","Tipo de Medio (catálogo)","Descripción de Unidad","Tipo (catálogo)","Nombre de La Campaña O Aviso Institucional, en su Caso","Año de La Campaña","Tema de La Campaña O Aviso Institucional","Objetivo Institucional","Objetivo de Comunicación","Costo por unidad","Clave Única de Identificación de Campaña","Autoridad Que Proporcionó La Clave","Cobertura (catálogo)","Ámbito Geográfico de Cobertura","Fecha de Inicio de La Campaña O Aviso Institucional","Fecha de término de La Campaña O Aviso Institucional","Sexo (catálogo)","Lugar de Residencia","Nivel Educativo","Grupo de Edad","Nivel Socioeconómico","Respecto a Los Proveedores y su Contratación","Respecto a Los Recursos y El Presupuesto","Respecto Al Contrato y Los Montos","Área(s) Responsable(s) Que Genera(n), Posee(n), Publica(n) Y Actualizan La Información","Fecha de validación","Fecha de actualización",Nota
"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",2015,01-Octubre-15,31-Diciembre-15,"Contratante y solicitante","Dirección General de Comunicación Social y Difusión","Servicios de difusión en medios de comunicación","Medios impresos","Diarios Editados en el D.F.","Reforma; Cobertura: nacional;  Ámbito geográfico de cobertura: Nacional; Fecha de inicio: 02/10/2015; Fecha de término: 05/10/2015; Grupo(s) de edad: 13-64; Lugar de residencia: Nacional ; Nivel  socieconómico: A/B/C+ 38.21%, C 18.95%, D+ 31.46%, D/E 11.38% ; Nivel educativo: 0; Sexo: Ambos ;","Avisos Institucionales","Semana Nacional de Transparencia 2015",2015,"Acceso a la información, transparencia y rendición de cuentas","Promover el pleno ejercicio de los derechos de acceso a la información pública y de protección de datos personales","Promover y difundir los Derechos de Acceso a la Información y Protección de Datos",63881.66,,,Nacional,México,2015-09-22,2015-10-06,Ambos,"Aguascalientes * Baja California * Baja California Sur * Campeche * Chiapas * Chihuahua * Coahuila de Zaragoza * Colima * Distrito Federal * Durango * Guanajuato * Guerrero * Hidalgo * Jalisco * México * Michoacán de Ocampo * Morelos * Nayarit * Nuevo León * Oaxaca * Puebla * Querétaro * Quintana Roo * San Luis Potosí * Sinaloa * Sonora * Tabasco * Tamaulipas * Tlaxcala * Veracruz de Ignacio de la Llave * Yucatán * Zacatecas","Doctorado * Maestria * Superior * Media Superior * Secundaria * Primaria","13 - 65","AB Alta * C+ Media Alta * C Media * D+ Media Baja * D Baja * E Marginada",2016-161-37-1-41,2016-161-37-1-41,2016-161-37-1-41,"Dirección General de Comunicación Social y Difusión",2016-12-05,2016-12-05,
"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",2015,01-Octubre-15,31-Diciembre-15,"Contratante y solicitante","Dirección General de Comunicación Social y Difusión","Servicios de difusión en medios de comunicación","Medios impresos","Diarios Editados en el D.F.","Reforma; Cobertura: nacional;  Ámbito geográfico de cobertura: Nacional; Fecha de inicio: 03/12/2015; Fecha de término: 06/12/2015; Grupo(s) de edad: 13-64; Lugar de residencia: Nacional ; Nivel  socieconómico: A/B/C+ 38.21%, C 18.95%, D+ 31.46%, D/E 11.38% ; Nivel educativo: 0; Sexo: Ambos ;",Campañas,"Institucional 2015",2015,"Acceso a la información, transparencia y rendición de cuentas","Promover el pleno ejercicio de los derechos de acceso a la información pública y de protección de datos personales","Reforzar el conocimiento del nombre del Instituto y sus nuevas atribuciones, promover la cultura de la Transparencia y el Acceso a la Información Pública, promover la cultura de la Protección de Datos Personales en posesión de particulares",79530.53,,,Nacional,México,2015-11-20,2015-12-31,Ambos,"Aguascalientes * Baja California * Baja California Sur * Campeche * Chiapas * Chihuahua * Coahuila de Zaragoza * Colima * Distrito Federal * Durango * Estado de México * Guanajuato * Guerrero * Hidalgo * Jalisco * Michoacán de Ocampo * Morelos * Nayarit * Nuevo León * Oaxaca * Puebla * Querétaro * Quintana Roo * San Luis Potosí * Sinaloa * Sonora * Tabasco * Tamaulipas * Tlaxcala * Veracruz de Ignacio de la Llave * Yucatán * Zacatecas","Doctorado * Maestria * Superior * Media Superior * Secundaria * Primaria","13 - 65","AB Alta * C+ Media Alta * C Media * D+ Media Baja * D Baja * E Marginada",2016-162-96-1-41,2016-162-96-1-41,2016-162-96-1-41,"Dirección General de Comunicación Social y Difusión",2016-12-05,2016-12-05,
"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",2015,01-Octubre-15,31-Diciembre-15,"Contratante y solicitante","Dirección General de Comunicación Social y Difusión","Servicios de difusión en medios de comunicación","Medios impresos","Diarios Editados en el D.F.","Robaplana/ 1/4 de plana 
Reforma; Cobertura: nacional;  Ámbito geográfico de cobertura: Nacional; Fecha de inicio: 11/12/2015; Fecha de término: 29/12/2015; Grupo(s) de edad: 13-64; Lugar de residencia: Nacional ; Nivel  socieconómico: A/B/C+ 38.21%, C 18.95%, D+ 31.46%, D/E 11.38% ; Nivel educativo: 0; Sexo: Ambos ;",Campañas,"Institucional 2015",2015,"Acceso a la información, transparencia y rendición de cuentas","Promover el pleno ejercicio de los derechos de acceso a la información pública y de protección de datos personales","Reforzar el conocimiento del nombre del Instituto y sus nuevas atribuciones, promover la cultura de la Transparencia y el Acceso a la Información Pública, promover la cultura de la Protección de Datos Personales en posesión de particulares",227984.08,,,Nacional,México,2015-11-20,2015-12-31,Ambos,"Aguascalientes * Baja California * Baja California Sur * Campeche * Chiapas * Chihuahua * Coahuila de Zaragoza * Colima * Distrito Federal * Durango * Estado de México * Guanajuato * Guerrero * Hidalgo * Jalisco * Michoacán de Ocampo * Morelos * Nayarit * Nuevo León * Oaxaca * Puebla * Querétaro * Quintana Roo * San Luis Potosí * Sinaloa * Sonora * Tabasco * Tamaulipas * Tlaxcala * Veracruz de Ignacio de la Llave * Yucatán * Zacatecas","Doctorado * Maestria * Superior * Media Superior * Secundaria * Primaria","13 - 65","AB Alta * C+ Media Alta * C Media * D+ Media Baja * D Baja * E Marginada",2016-163-109-1-41,2016-163-109-1-41,2016-163-109-1-41,"Dirección General de Comunicación Social y Difusión",2016-12-05,2016-12-05,"La inserción se integra de tres publicaciones con las siguientes características: una robaplana y dos 1/4 de plana "
"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",2016,01-Octubre-16,31-Diciembre-16,"Contratante y solicitante","DIRECCIÓN GENERAL DE COMUNICACIÓN SOCIAL Y DIFUSIÓN","Servicios de difusión en medios de comunicación","Medios impresos","Diarios Editados en el D.F."," 
Servicio de difusión mediante la orden de inserción de la Campaña Institucional 2016",Campañas,"CAMPAÑA INSTITUCIONAL 2016",2016,"Acceso a la información, transparencia y rendición de cuentas","Impulsar el desempeño organizacional y promover un modelo institucional de servicio público orientado a resultados con un enfoque de derechos humanos y perspectiva de género",,69455.23,ACT-PUB/19/08/2015.04,"PLENO DEL INAI",Nacional,Nacional,2016-11-28,2016-12-31,,,,,,2016-175-161-1-41,2016-175-161-1-41,2016-175-161-1-41,"DIRECCIÓN GENERAL DE COMUNICACIÓN SOCIAL Y DIFUSIÓN",2017-05-04,2017-05-04,
"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",2016,01-Octubre-16,31-Diciembre-16,"Contratante y solicitante","DIRECCIÓN GENERAL DE COMUNICACIÓN SOCIAL Y DIFUSIÓN","Servicios de difusión en medios de comunicación","Medios impresos","Diarios Editados en los Estados"," 
Servicio de difusión mediante la orden de inserción de la Campaña Institucional 2016
 ",Campañas,"CAMPAÑA INSTITUCIONAL 2016",2016,"Acceso a la información, transparencia y rendición de cuentas","Impulsar el desempeño organizacional y promover un modelo institucional de servicio público orientado a resultados con un enfoque de derechos humanos y perspectiva de género",,95520.44,ACT-PUB/19/08/2015.04,"PLENO DEL INAI",Nacional,Nacional,2016-11-28,2016-12-31,,,,,,2016-217-204-1-41,2016-217-204-1-41,2016-217-204-1-41,"DIRECCIÓN GENERAL DE COMUNICACIÓN SOCIAL Y DIFUSIÓN",2017-05-04,2017-05-04,
"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",2016,01-Abril-16,30-Junio-16,"Contratante y solicitante","DIRECCIÓN GENERAL DE COMUNICACIÓN SOCIAL Y DIFUSIÓN","Servicios de difusión en medios de comunicación","Medios impresos","Diarios Editados en el D.F.","Servicio de difusión mediante inserción del aviso institucional con motivo del Foro ?La Información en el Combate a la Corrupción? ¿Cómo nos arreglamos?, ","Avisos Institucionales","Foro ?La Información en el Combate a la Corrupción? ¿Cómo nos arreglamos?",2016,"Acceso a la información, transparencia y rendición de cuentas","Impulsar el desempeño organizacional y promover un modelo institucional de servicio público orientado a resultados con un enfoque de derechos humanos y perspectiva de género","Promover el conocimiento y ejercicio del derechos de acceso a la informacion mediante el Foro ?La Información en el Combate a la Corrupción? ¿Cómo nos arreglamos?.",69455.23,INAI-INCOMCOR-2016,,Nacional,Nacional,2016-04-11,2016-04-12,,,,,,2016-290-262-1-41,2016-290-262-1-41,2016-290-262-1-41,"DIRECCIÓN GENERAL DE COMUNICACIÓN SOCIAL Y DIFUSIÓN",2017-05-04,2017-05-04,
"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",2016,01-Abril-16,30-Junio-16,"Contratante y solicitante","DIRECCIÓN GENERAL DE COMUNICACIÓN SOCIAL Y DIFUSIÓN","Servicios de difusión en medios de comunicación","Medios impresos","Diarios Editados en el D.F.","servicio de difusión mediante inserción del aviso institucional con motivo del Premio Innovación y Buenas Prácticas en la Protección de Datos Personales 2016.","Avisos Institucionales","Premio a la Innovación y buenas prácticas en la Protección de Datos Personales",2016,"Protección de datos personales","Impulsar el desempeño organizacional y promover un modelo institucional de servicio público orientado a resultados con un enfoque de derechos humanos y perspectiva de género","Promover el conocimiento y el ejercicio del derecho de protección de datos personales mediante el Premio a la Innovación y buenas prácticas en la Protección de Datos Personales.",69455.23,ACT-PUB/11/05/2016.10,"PLENO DEL INAI",Nacional,Nacional,2016-06-19,2016-07-25,,,,,,2016-295-267-1-41,2016-295-267-1-41,2016-295-267-1-41,"DIRECCIÓN GENERAL DE COMUNICACIÓN SOCIAL Y DIFUSIÓN",2017-05-04,2017-05-04,
"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",2016,01-Julio-16,30-Septiembre-16,"Contratante y solicitante","DIRECCIÓN GENERAL DE COMUNICACIÓN SOCIAL Y DIFUSIÓN","Servicios de difusión en medios de comunicación","Medios impresos","Diarios Editados en el D.F.","servicio de difusión mediante inserción del aviso institucional con motivo de la Semana Nacional de Transparencia 2016.","Avisos Institucionales","Semana Nacional de Transparencia",2016,Otro,"Impulsar el desempeño organizacional y promover un modelo institucional de servicio público orientado a resultados con un enfoque de derechos humanos y perspectiva de género","Promover el conocimiento y el ejercicio de los derechos de acceso a la información y protección de datos personales.
Fomentar la cultura de la transparencia y la rendición de cuentas.",63141.12,INAI-SNT-2016,,Nacional,Nacional,2016-09-01,2016-09-27,,,,,,2016-309-281-1-41,2016-309-281-1-41,2016-309-281-1-41,"DIRECCIÓN GENERAL DE COMUNICACIÓN SOCIAL Y DIFUSIÓN",2017-05-04,2017-05-04,
"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",2016,01-Octubre-16,31-Diciembre-16,"Contratante y solicitante","DIRECCIÓN GENERAL DE COMUNICACIÓN SOCIAL Y DIFUSIÓN","Servicios de difusión en medios de comunicación","Medios impresos","Diarios Editados en el D.F.","servicio de difusión mediante inserción del aviso institucional con motivo del Concurso para ser Comisionada y Comisionado Infantil, y formar parte del Pleno Niñas y Niños.","Avisos Institucionales","Concurso para ser Comisionada y Comisionado Infantil",2016,Otro,"Impulsar el desempeño organizacional y promover un modelo institucional de servicio público orientado a resultados con un enfoque de derechos humanos y perspectiva de género","Promover la participación ciudadana, a fin de ampliar el conocimiento y ejercicio de los derechos que tutela el INAI.",46400.00,INAI-CCCI-2016,,Nacional,Nacional,2016-11-11,2016-11-11,,,,,,2016-314-285-1-41,2016-314-285-1-41,2016-314-285-1-41,"DIRECCIÓN GENERAL DE COMUNICACIÓN SOCIAL Y DIFUSIÓN",2017-05-04,2017-05-04,
"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",2017,01-Abril-17,30-Junio-17,"Contratante y solicitante","DIRECCIÓN GENERAL DE COMUNICACIÓN SOCIAL Y DIFUSIÓN","Servicios de difusión en medios de comunicación","Medios impresos","Diarios Editados en el D.F.","Servicio de difusión mediante inserción del aviso institucional con motivo de la celebración del Día Internacional de Protección de Datos Personales","Avisos Institucionales","Día Internacional de Protección de Datos Personales 2017",2017,"Protección de datos personales","Promover el pleno ejercicio de los derechos de acceso a la información pública y de protección de datos personales","Pomover el pleno ejercicio de los derechos a acceso a la información pública y protección de datos personales ",57179.88,,,Nacional,Nacional,2017-01-01,2017-01-31,Ambos,Internacional,"Doctorado * Maestria * Superior * Media Superior * Secundaria * Primaria * Sin educación","18-35 * 36-60 * 60 en adelante * 13 - 65","AB Alta * C+ Media Alta * C Media * D+ Media Baja * D Baja * E Marginada",2017-344-312-1-41,2017-344-312-1-41,2017-344-312-1-41,"DIRECCIÓN GENERAL DE COMUNICACIÓN SOCIAL Y DIFUSIÓN",2017-11-06,2017-06-30,http://inicio.inai.org.mx/doc/DGCSD/2017/A70FXXIIIB/FACTURA/OI-03-FVP.pdf
"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",2015,01-Octubre-15,31-Diciembre-15,"Contratante y solicitante","Dirección General de Comunicación Social y Difusión","Servicios de difusión en medios de comunicación","Medios impresos","Diarios Editados en los Estados","El Orbe
Cobertura: Estatal
Ámbito geográficod e cobertura: Chiapas
Fecha de inicio: 02/12/2015
Fecha de término: 22/12/2015
Grupo de edad: 18-46
Lugar de residencia: Chiapas
Nivel socioeconómico: A/B/C+ 24%, C 27%, D 49%
Sexo: Ambos",Campañas,"Institucional 2015",2015,"Acceso a la información, transparencia y rendición de cuentas","Promover el pleno ejercicio de los derechos de acceso a la información pública y de protección de datos personales","Reforzar el conocimiento del nombre del Instituto y sus nuevas atribuciones, promover la cultura de la Transparencia y el Acceso a la Información Pública, promover la cultura de la Protección de Datos Personales en posesión de particulares",19585.44,,,Nacional,México,2015-11-20,2015-12-31,Ambos,"Aguascalientes * Baja California * Baja California Sur * Campeche * Chiapas * Chihuahua * Coahuila de Zaragoza * Colima * Distrito Federal * Durango * Estado de México * Guanajuato * Guerrero * Hidalgo * Jalisco * Michoacán de Ocampo * Morelos * Nayarit * Nuevo León * Oaxaca * Puebla * Querétaro * Quintana Roo * San Luis Potosí * Sinaloa * Sonora * Tabasco * Tamaulipas * Tlaxcala * Veracruz de Ignacio de la Llave * Yucatán * Zacatecas","Doctorado * Maestria * Superior * Media Superior * Secundaria * Primaria","13 - 65","AB Alta * C+ Media Alta * C Media * D+ Media Baja * D Baja * E Marginada",2016-80-49-1-42,2016-80-49-1-42,2016-80-49-1-42,"Dirección General de Comunicación Social y Difusión",2016-12-05,2016-12-05,
"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",2015,01-Octubre-15,31-Diciembre-15,"Contratante y solicitante","Dirección General de Comunicación Social y Difusión","Servicios de difusión en medios de comunicación","Medios impresos","Diarios Editados en los Estados","El Popular
Cobertura: Estatal
Ámbito geográfico: Puebla
Fecha de inicio: 02/12/2015
Fecha de término: 24/12/2015
Grupo de edad: 17-65
Lugar de Residencia: Puebla
Nivel socioeconómico: A/B 39%, C+ 53%, C 8%
Nivel educativo: Secundaria - Profesional
Sexo: Ambos",Campañas,"Institucional 2015",2015,"Acceso a la información, transparencia y rendición de cuentas","Promover el pleno ejercicio de los derechos de acceso a la información pública y de protección de datos personales","Reforzar el conocimiento del nombre del Instituto y sus nuevas atribuciones, promover la cultura de la Transparencia y el Acceso a la Información Pública, promover la cultura de la Protección de Datos Personales en posesión de particulares",34307.00,,,Nacional,México,2015-11-20,2015-12-31,Ambos,"Aguascalientes * Baja California * Baja California Sur * Campeche * Chiapas * Chihuahua * Coahuila de Zaragoza * Colima * Distrito Federal * Durango * Estado de México * Guanajuato * Guerrero * Hidalgo * Jalisco * Michoacán de Ocampo * Morelos * Nayarit * Nuevo León * Oaxaca * Puebla * Querétaro * Quintana Roo * San Luis Potosí * Sinaloa * Sonora * Tabasco * Tamaulipas * Tlaxcala * Veracruz de Ignacio de la Llave * Yucatán * Zacatecas","Doctorado * Maestria * Superior * Media Superior * Secundaria * Primaria","13 - 65","AB Alta * C+ Media Alta * C Media * D+ Media Baja * D Baja * E Marginada",2016-60-77-1-43,2016-60-77-1-43,2016-60-77-1-43,"Dirección General de Comunicación Social y Difusión",2016-12-05,2016-12-05,
"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",2015,01-Octubre-15,31-Diciembre-15,"Contratante y solicitante","Dirección General de Comunicación Social y Difusión","Servicios de difusión en medios de comunicación","Medios impresos","Diarios Editados en los Estados","El Presente Diario del Sureste
Cobertura: Estatal
Ámbito geográfico de cobertura: Tabasco
Fecha de inicio: 02/12/2015
Fecha de término: 20/12/2015
Grupo de edad: 20-41
Lugar de residencia: Tabasco
Sexo: Ambos",Campañas,"Institucional 2015",2015,"Acceso a la información, transparencia y rendición de cuentas","Promover el pleno ejercicio de los derechos de acceso a la información pública y de protección de datos personales","Reforzar el conocimiento del nombre del Instituto y sus nuevas atribuciones, promover la cultura de la Transparencia y el Acceso a la Información Pública, promover la cultura de la Protección de Datos Personales en posesión de particulares",42531.98,,,Nacional,México,2015-11-20,2015-12-31,Ambos,"Aguascalientes * Baja California * Baja California Sur * Campeche * Chiapas * Chihuahua * Coahuila de Zaragoza * Colima * Distrito Federal * Durango * Estado de México * Guanajuato * Guerrero * Hidalgo * Jalisco * Michoacán de Ocampo * Morelos * Nayarit * Nuevo León * Oaxaca * Puebla * Querétaro * Quintana Roo * San Luis Potosí * Sinaloa * Sonora * Tabasco * Tamaulipas * Tlaxcala * Veracruz de Ignacio de la Llave * Yucatán * Zacatecas","Doctorado * Maestria * Superior * Media Superior * Secundaria * Primaria","13 - 65","AB Alta * C+ Media Alta * C Media * D+ Media Baja * D Baja * E Marginada",2016-99-86-1-44,2016-99-86-1-44,2016-99-86-1-44,"Dirección General de Comunicación Social y Difusión",2016-12-05,2016-12-05,
"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",2015,01-Octubre-15,31-Diciembre-15,"Contratante y solicitante","Dirección General de Comunicación Social y Difusión","Servicios de difusión en medios de comunicación","Medios impresos","Diarios Editados en los Estados","El Presente Diario del Sureste
Cobertura: Estatal
Ámbito geográfico de cobertura: Tabasco
Fecha de inicio: 02/12/2015
Fecha de término: 31/12/2015
Grupo de edad: 20-41
Lugar de residencia: Tabasco
Sexo: Ambos",Campañas,"Institucional 2015",2015,"Acceso a la información, transparencia y rendición de cuentas","Promover el pleno ejercicio de los derechos de acceso a la información pública y de protección de datos personales","Reforzar el conocimiento del nombre del Instituto y sus nuevas atribuciones, promover la cultura de la Transparencia y el Acceso a la Información Pública, promover la cultura de la Protección de Datos Personales en posesión de particulares",42531.98,,,Nacional,México,2015-11-20,2015-12-31,Ambos,"Aguascalientes * Baja California * Baja California Sur * Campeche * Chiapas * Chihuahua * Coahuila de Zaragoza * Colima * Distrito Federal * Durango * Estado de México * Guanajuato * Guerrero * Hidalgo * Jalisco * Michoacán de Ocampo * Morelos * Nayarit * Nuevo León * Oaxaca * Puebla * Querétaro * Quintana Roo * San Luis Potosí * Sinaloa * Sonora * Tabasco * Tamaulipas * Tlaxcala * Veracruz de Ignacio de la Llave * Yucatán * Zacatecas","Doctorado * Maestria * Superior * Media Superior * Secundaria * Primaria","13 - 65","AB Alta * C+ Media Alta * C Media * D+ Media Baja * D Baja * E Marginada",2016-102-87-1-44,2016-102-87-1-44,2016-102-87-1-44,"Dirección General de Comunicación Social y Difusión",2016-12-05,2016-12-05,"El proovedor bonifica difusión mediante banner estandar por el periodo del 19 al 31 de diciembre de 2015 en el sitio web www.diariopresente.com.mx"
"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",2015,01-Octubre-15,31-Diciembre-15,"Contratante y solicitante","Dirección General de Comunicación Social y Difusión","Servicios de difusión en medios de comunicación","Medios impresos","Diarios Editados en los Estados","El Pulso de San Luis Potosí; Cobertura: estatal;  Ámbito geográfico de cobertura: San Luis Potosí ; Fecha de inicio: 02/12/2015; Fecha de término: 31/12/2015; Grupo(s) de edad: 18-55; Lugar de residencia: San Luis Potosí ; Nivel  socieconómico: Alto 28.8%, Medio 31.5%, Medio Bajo 23.7%, Bajo 16%; Nivel educativo: 0; Sexo: Ambos ;",Campañas,"Institucional 2015",2015,"Acceso a la información, transparencia y rendición de cuentas","Promover el pleno ejercicio de los derechos de acceso a la información pública y de protección de datos personales","Reforzar el conocimiento del nombre del Instituto y sus nuevas atribuciones, promover la cultura de la Transparencia y el Acceso a la Información Pública, promover la cultura de la Protección de Datos Personales en posesión de particulares",36546.68,,,Nacional,México,2015-11-20,2015-12-31,Ambos,"Aguascalientes * Baja California * Baja California Sur * Campeche * Chiapas * Chihuahua * Coahuila de Zaragoza * Colima * Distrito Federal * Durango * Estado de México * Guanajuato * Guerrero * Hidalgo * Jalisco * Michoacán de Ocampo * Morelos * Nayarit * Nuevo León * Oaxaca * Puebla * Querétaro * Quintana Roo * San Luis Potosí * Sinaloa * Sonora * Tabasco * Tamaulipas * Tlaxcala * Veracruz de Ignacio de la Llave * Yucatán * Zacatecas","Doctorado * Maestria * Superior * Media Superior * Secundaria * Primaria","13 - 65","AB Alta * C+ Media Alta * C Media * D+ Media Baja * D Baja * E Marginada",2016-110-79-1-45,2016-110-79-1-45,2016-110-79-1-45,"Dirección General de Comunicación Social y Difusión",2016-12-05,2016-12-05,
"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",2016,01-Octubre-16,31-Diciembre-16,"Contratante y solicitante","DIRECCIÓN GENERAL DE COMUNICACIÓN SOCIAL Y DIFUSIÓN","Servicios de difusión en medios de comunicación","Medios impresos","Diarios Editados en los Estados"," 
Servicio de difusión mediante la orden de inserción de la Campaña Institucional 2016
 ",Campañas,"CAMPAÑA INSTITUCIONAL 2016",2016,"Acceso a la información, transparencia y rendición de cuentas","Impulsar el desempeño organizacional y promover un modelo institucional de servicio público orientado a resultados con un enfoque de derechos humanos y perspectiva de género",,17694.55,ACT-PUB/19/08/2015.04,"PLENO DEL INAI",Nacional,Nacional,2016-11-28,2016-12-31,,,,,,2016-202-189-1-45,2016-202-189-1-45,2016-202-189-1-45,"DIRECCIÓN GENERAL DE COMUNICACIÓN SOCIAL Y DIFUSIÓN",2017-05-04,2017-05-04,
"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",2016,01-Octubre-16,31-Diciembre-16,"Contratante y solicitante","DIRECCIÓN GENERAL DE COMUNICACIÓN SOCIAL Y DIFUSIÓN","Servicios de difusión en medios de comunicación",Internet,"Medios Digitales"," 
servicio de difusión en medios complementarios de la campaña institucional 2016, orden de servicio 48/16.
 ",Campañas,"CAMPAÑA INSTITUCIONAL 2016",2016,"Acceso a la información, transparencia y rendición de cuentas","Impulsar el desempeño organizacional y promover un modelo institucional de servicio público orientado a resultados con un enfoque de derechos humanos y perspectiva de género",,9999.99,ACT-PUB/19/08/2015.04,"PLENO DEL INAI",Nacional,Nacional,2016-11-28,2016-12-31,,,,,,2016-234-221-1-45,2016-234-221-1-45,2016-234-221-1-45,"DIRECCIÓN GENERAL DE COMUNICACIÓN SOCIAL Y DIFUSIÓN",2017-05-04,2017-05-04,
"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",2016,01-Enero-16,31-Marzo-16,"Contratante y solicitante","DIRECCIÓN GENERAL DE COMUNICACIÓN SOCIAL Y DIFUSIÓN","Servicios de difusión en medios de comunicación","Medios impresos","Diarios Editados en los Estados","servicio de difusión mediante inserción del aviso institucional con motivo de la celebración del Día Internacional de Protección de Datos Personales.","Avisos Institucionales","Dia Internacional de Protección de Datos Personales",2016,"Protección de datos personales","Impulsar el desempeño organizacional y promover un modelo institucional de servicio público orientado a resultados con un enfoque de derechos humanos y perspectiva de género","Avisar a la ciudadania sobre los consejos utiles para proteger los datos personales.
Convocar la participación de la ciudadania en el evento institucional de celebración del Día Internacional de Protección de Datos Personales.",44154.24,INAI-DIPDP-2016,,Nacional,Nacional,2016-01-24,2016-01-29,,,,,,2016-284-256-1-45,2016-284-256-1-45,2016-284-256-1-45,"DIRECCIÓN GENERAL DE COMUNICACIÓN SOCIAL Y DIFUSIÓN",2017-05-04,2017-05-04,
"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",2015,01-Enero-15,31-Marzo-15,"Contratante y solicitante","Dirección General de Comunicación Social y Difusión","Servicios de difusión en medios de comunicación","Medios impresos","Diarios Editados en los Estados","Heraldo de Chihuahua
Cobertura: Estatal
Ámbito geográfico de cobertura: Chihuahua
Fecha de inicio: 27/01/2015
Fecha de término: 28/01/2015
Grupo de edad: 17-65
Lugar de residencia: Chihuahua
Nivel socioeconómico: A/B 47%, C 39%, D 14%
Nivel educativo: Primaria - Profesional
Sexo: Ambos","Avisos Institucionales","Día Internacional de Protección de Datos Personales 2015",2015,"Protección de datos personales","Promover el pleno ejercicio de los derechos de acceso a la información pública y de protección de datos personales","Promover y difundir el Derecho de Protección de Datos Personales a nivel nacional",15919.96,,,Nacional,México,2015-01-23,2015-01-29,Ambos,"Aguascalientes * Baja California * Chihuahua * Guanajuato * Jalisco * México * Michoacán * Nacional * Nuevo León * Puebla * Sonora * Veracruz * Yucatán * Zacatecas","Doctorado * Maestria * Superior * Media Superior * Secundaria * Primaria","13 - 65","AB Alta * C+ Media Alta * C Media * D+ Media Baja * D Baja * E Marginada",2016-67-8-1-46,2016-67-8-1-46,2016-67-8-1-46,"Dirección General de Comunicación Social y Difusión",2016-12-05,2016-12-05,
"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales",2015,01-Enero-15,31-Marzo-15,"Contratante y solicitante","Dirección General de Comunicación Social y Difusión","Servicios de difusión en medios de comunicación","Medios impresos","Diarios Editados en los Estados","El Sol de Zacatecas
Cobertura: Estatal
Ámbito geográfico de cobertura: Zacatecas
Fecha de inicio: 27/01/2015
Fecha de término: 29/01/2015
Grupo de edad: 17-65
Lugar de residencia: Zacatecas
Nivel socioeconómico: A/B 39%, C+ 52%, C 9%
Nivel educativo: Secundaria - Profesional
Sexo: Ambos","Avisos Institucionales","Día Internacional de Protección de Datos Personales 2015",2015,"Protección de datos personales","Promover el pleno ejercicio de los derechos de acceso a la información pública y de protección de datos personales","Promover y difundir el Derecho de Protección de Datos Personales a nivel nacional",6020.34,,,Nacional,México,2015-01-23,2015-01-29,Ambos,"Aguascalientes * Baja California * Chihuahua * Guanajuato * Jalisco * México * Michoacán * Nacional * Nuevo León * Puebla * Sonora * Veracruz * Yucatán * Zacatecas","Doctorado * Maestria * Superior * Media Superior * Secundaria * Primaria","13 - 65","AB Alta * C+ Media Alta * C Media * D+ Media Baja * D Baja * E Marginada",2016-68-20-1-46,2016-68-20-1-46,2016-68-20-1-46,"Dirección General de Comunicación Social y Difusión",2016-12-05,2016-12-05,
